population,reagent,Condition,median,variance,uniquePopulationName,parentPopulation,channel,Species,statistic,uniquePopulationName_right,parentPopulation_right,channel_right,Species_right,statistic_right,std
CD4+T cells,pSTAT5,IL-2,35.830313205718994,107.24700047561856,CD4+T cells,T Cells,Sm149Di,Human,median,CD4+T cells,T Cells,Sm149Di,Human,median,22.641468605578446
CD16+/CD11b-,pErk1/2,R848,29.845396041870117,183.1135031110697,CD16+/CD11b-,HLA-DR+/CD7-,Sm152Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Sm152Di,Human,median,40.555622738976474
pDCs,pCREB,PMAIono,20.793648719787598,352.7593196597767,pDCs,HLA-DR+ CD11c-,Nd145Di,Human,median,pDCs,HLA-DR+ CD11c-,Nd145Di,Human,median,36.604784632892816
CD11b-/CD16-,pSTAT1,IFNb,26.944024562835693,171.48846198678456,CD11b-/CD16-,HLA-DR+/CD7-,Sm147Di,Human,median,CD11b-/CD16-,HLA-DR+/CD7-,Sm147Di,Human,median,28.500677671766333
CD11b+/CD16-,pSTAT1,IFNb,33.2235107421875,204.34505627262575,CD11b+/CD16-,HLA-DR+/CD7-,Sm147Di,Human,median,CD11b+/CD16-,HLA-DR+/CD7-,Sm147Di,Human,median,43.38108613015962
CD16+/CD11b-,pSTAT1,IFNg,26.308279991149902,198.82708408900058,CD16+/CD11b-,HLA-DR+/CD7-,Sm147Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Sm147Di,Human,median,39.61679915865423
CD16+/CD11b+,pSTAT5,GM-CSF,75.64260482788086,245.4448664233863,CD16+/CD11b+,HLA-DR+/CD7-,Sm149Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Sm149Di,Human,median,38.91434101400051
CD11b+/CD16-,pTBK1,TNFa,25.133405923843384,331.8438408395625,CD11b+/CD16-,HLA-DR+/CD7-,Dy161Di,Human,median,CD11b+/CD16-,HLA-DR+/CD7-,Dy161Di,Human,median,26.608973251390008
CD11b-/CD16-,pSTAT5,IFNb,27.73587989807129,128.88297306864,CD11b-/CD16-,HLA-DR+/CD7-,Sm149Di,Human,median,CD11b-/CD16-,HLA-DR+/CD7-,Sm149Di,Human,median,22.98629634499688
CD4+/CD8+,pSTAT6,IL-4,31.77572250366211,77.69923342365728,CD4+/CD8+,T Cells,Ho165Di,Human,median,CD4+/CD8+,T Cells,Ho165Di,Human,median,16.705212095033055
CD16+/CD11b-,pErk1/2,PMAIono,28.856422424316406,248.6736692528331,CD16+/CD11b-,HLA-DR+/CD7-,Sm152Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Sm152Di,Human,median,42.6673955341346
pDCs,pSTAT5,IFNb,20.67117691040039,75.20834314526928,pDCs,HLA-DR+ CD11c-,Sm149Di,Human,median,pDCs,HLA-DR+ CD11c-,Sm149Di,Human,median,20.07019145563241
Neutrophils,pErk1/2,GM-CSF,26.82929229736328,277.92009632220066,Neutrophils,Non-Basophils,Sm152Di,Human,median,Neutrophils,Non-Basophils,Sm152Di,Human,median,46.91383866244726
CD16+/CD11b+,pErk1/2,GM-CSF,52.00631332397461,364.29738668396294,CD16+/CD11b+,HLA-DR+/CD7-,Sm152Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Sm152Di,Human,median,56.21907573115358
