population,reagent,Condition,median,variance,uniquePopulationName,parentPopulation,channel,Species,statistic,uniquePopulationName_right,parentPopulation_right,channel_right,Species_right,statistic_right,std
CD8+T cells,pSTAT4,IFNb,14.334526300430298,26.093710809421836,CD8+T cells,T Cells,Er170Di,Human,median,CD8+T cells,T Cells,Er170Di,Human,median,8.900196986087122
Neutrophils,pSTAT6,IL-4,13.60659122467041,27.489286812117186,Neutrophils,Non-Basophils,Ho165Di,Human,median,Neutrophils,Non-Basophils,Ho165Di,Human,median,8.543687984635147
CD11b-/CD16-,pCREB,GM-CSF,13.990064144134521,126.32734953030311,CD11b-/CD16-,HLA-DR+/CD7-,Nd145Di,Human,median,CD11b-/CD16-,HLA-DR+/CD7-,Nd145Di,Human,median,24.308590651292697
CD4+/CD8+,pSTAT1,IL-6,13.08802318572998,114.19471245642067,CD4+/CD8+,T Cells,Sm147Di,Human,median,CD4+/CD8+,T Cells,Sm147Di,Human,median,24.726186427849438
B Cells,pErk1/2,PMAIono,24.14572787284851,329.5026633574161,B Cells,CD45+ CD66-,Sm152Di,Human,median,B Cells,CD45+ CD66-,Sm152Di,Human,median,28.7331344815742
CD1c+ B cells,pSTAT5,IFNb,13.22067642211914,219.36515537928088,CD1c+ B cells,B Cells,Sm149Di,Human,median,CD1c+ B cells,B Cells,Sm149Di,Human,median,20.498335954203718
Basophils,pSTAT5,GM-CSF,75.0756778717041,262.8507044708463,Basophils,Singlets,Sm149Di,Human,median,Basophils,Singlets,Sm149Di,Human,median,30.594381664138012
CD16+/CD11b+,pSTAT1,IFNa2,35.53342247009277,302.11310369311724,CD16+/CD11b+,HLA-DR+/CD7-,Sm147Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Sm147Di,Human,median,48.551113714577816
B Cells,pSTAT6,IL-4,58.3195219039917,201.36083604750925,B Cells,CD45+ CD66-,Ho165Di,Human,median,B Cells,CD45+ CD66-,Ho165Di,Human,median,22.095882370745613
CD16+/CD11b+,pTBK1,LPS,220.1595344543457,38271.93358542385,CD16+/CD11b+,HLA-DR+/CD7-,Dy161Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Dy161Di,Human,median,211.39082780863959
Basophils,pSTAT5,IFNa2,14.848337173461914,38.343382538293554,Basophils,Singlets,Sm149Di,Human,median,Basophils,Singlets,Sm149Di,Human,median,15.581403543144178
B Cells,pP38,CD40L,11.044149160385132,21.313969479917944,B Cells,CD45+ CD66-,Sm154Di,Human,median,B Cells,CD45+ CD66-,Sm154Di,Human,median,12.382377014632075
CD16+/CD11b-,pSTAT6,IL-4,59.13383674621582,514.1780361077523,CD16+/CD11b-,HLA-DR+/CD7-,Ho165Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Ho165Di,Human,median,31.301835519835436
CD4+/CD8+,pSTAT3,IFNb,16.164918899536133,2119.4907204506353,CD4+/CD8+,T Cells,La139Di,Human,median,CD4+/CD8+,T Cells,La139Di,Human,median,97.54472373303595
CD8+T cells,pSTAT5,IFNb,13.52709174156189,46.9641352301492,CD8+T cells,T Cells,Sm149Di,Human,median,CD8+T cells,T Cells,Sm149Di,Human,median,13.169874142223254
CD1c+ B cells,pCREB,PMAIono,15.132295608520508,919.6929475385003,CD1c+ B cells,B Cells,Nd145Di,Human,median,CD1c+ B cells,B Cells,Nd145Di,Human,median,44.47052680711983
CD7+/HLA-DR-,pSTAT4,IFNb,17.431337118148804,47.16615401122942,CD7+/HLA-DR-,CD19- CD3-,Er170Di,Human,median,CD7+/HLA-DR-,CD19- CD3-,Er170Di,Human,median,10.058443823228131
CD16+/CD11b+,pSTAT1,IFNg,38.14329528808594,520.2005412910473,CD16+/CD11b+,HLA-DR+/CD7-,Sm147Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Sm147Di,Human,median,50.6357511608001
CD11b-/CD16-,pErk1/2,PMAIono,21.035862922668457,626.9745130134783,CD11b-/CD16-,HLA-DR+/CD7-,Sm152Di,Human,median,CD11b-/CD16-,HLA-DR+/CD7-,Sm152Di,Human,median,49.12932335296798
CD16+/CD11b-,pErk1/2,TNFa,12.043188095092773,115.10941398197731,CD16+/CD11b-,HLA-DR+/CD7-,Sm152Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Sm152Di,Human,median,31.531471113292532
Basophils,pErk1/2,PMAIono,15.740333557128906,231.9375060360021,Basophils,Singlets,Sm152Di,Human,median,Basophils,Singlets,Sm152Di,Human,median,33.15523952226566
CD16+/CD11b-,pP38,R848,23.214612007141113,210.72575717042352,CD16+/CD11b-,HLA-DR+/CD7-,Sm154Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Sm154Di,Human,median,24.15341906843228
CD11b+/CD16-,pSTAT5,IFNb,31.061232089996338,149.16981184074123,CD11b+/CD16-,HLA-DR+/CD7-,Sm149Di,Human,median,CD11b+/CD16-,HLA-DR+/CD7-,Sm149Di,Human,median,23.70939603374167
CD11b+/CD16-,pSTAT6,IL-4,94.50005757808685,950.4045660272307,CD11b+/CD16-,HLA-DR+/CD7-,Ho165Di,Human,median,CD11b+/CD16-,HLA-DR+/CD7-,Ho165Di,Human,median,41.19674819100885
CD4+/CD8+,pS6,IL-2,10.337562561035156,252.74343836828507,CD4+/CD8+,T Cells,Sm150Di,Human,median,CD4+/CD8+,T Cells,Sm150Di,Human,median,46.33435446724906
CD16+/CD11b-,pP38,TNFa,12.544469356536865,86.72022104532996,CD16+/CD11b-,HLA-DR+/CD7-,Sm154Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Sm154Di,Human,median,18.901006816444397
CD8+T cells,pSTAT1,IFNa2,11.510295867919922,37.01375813331958,CD8+T cells,T Cells,Sm147Di,Human,median,CD8+T cells,T Cells,Sm147Di,Human,median,13.651358102950798
CD11b-/CD16-,pCREB,TNFa,15.961719512939453,105.3972916670399,CD11b-/CD16-,HLA-DR+/CD7-,Nd145Di,Human,median,CD11b-/CD16-,HLA-DR+/CD7-,Nd145Di,Human,median,24.111959951767233
