population,reagent,Condition,median,variance,uniquePopulationName,parentPopulation,channel,Species,statistic,uniquePopulationName_right,parentPopulation_right,channel_right,Species_right,statistic_right,std
CD11b+/CD16-,pSTAT1,IFNb,34.4494194984436,273.9405235635584,CD11b+/CD16-,HLA-DR+/CD7-,Sm147Di,Human,median,CD11b+/CD16-,HLA-DR+/CD7-,Sm147Di,Human,median,43.38108613015962
CD11b-/CD16-,pSTAT6,IL-4,87.88186287879944,1310.0544665981888,CD11b-/CD16-,HLA-DR+/CD7-,Ho165Di,Human,median,CD11b-/CD16-,HLA-DR+/CD7-,Ho165Di,Human,median,42.2649319896369
CD4+/CD8+,pSTAT5,IL-2,50.46605634689331,221.5175505244353,CD4+/CD8+,T Cells,Sm149Di,Human,median,CD4+/CD8+,T Cells,Sm149Di,Human,median,25.10329970151041
CD16+/CD11b-,pErk1/2,Anthrax,27.801063537597656,623.3046435778087,CD16+/CD11b-,HLA-DR+/CD7-,Sm152Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Sm152Di,Human,median,43.44992720902361
CD11b-/CD16-,pTBK1,TNFa,10.728962898254395,41.34651038601453,CD11b-/CD16-,HLA-DR+/CD7-,Dy161Di,Human,median,CD11b-/CD16-,HLA-DR+/CD7-,Dy161Di,Human,median,13.104152898399352
CD16+/CD11b-,pErk1/2,LPS,23.63428497314453,202.5418818814858,CD16+/CD11b-,HLA-DR+/CD7-,Sm152Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Sm152Di,Human,median,39.21115216640679
CD11b+/CD16-,pTBK1,TNFa,30.096864938735962,446.8837867623389,CD11b+/CD16-,HLA-DR+/CD7-,Dy161Di,Human,median,CD11b+/CD16-,HLA-DR+/CD7-,Dy161Di,Human,median,26.608973251390008
Basophils,pErk1/2,Anthrax,11.662315368652344,89.13806712325625,Basophils,Singlets,Sm152Di,Human,median,Basophils,Singlets,Sm152Di,Human,median,25.727230445768242
CD16+/CD11b-,pSTAT5,GM-CSF,76.16022872924805,264.5317611359592,CD16+/CD11b-,HLA-DR+/CD7-,Sm149Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Sm149Di,Human,median,31.611212145259977
CD1c+ B cells,pCREB,CD40L,14.40516185760498,307.1552917491563,CD1c+ B cells,B Cells,Nd145Di,Human,median,CD1c+ B cells,B Cells,Nd145Di,Human,median,139.28036256221552
Basophils,pErk1/2,GM-CSF,31.155686378479004,110.23744342774665,Basophils,Singlets,Sm152Di,Human,median,Basophils,Singlets,Sm152Di,Human,median,26.04687953774683
CD16+/CD11b+,pSTAT3,IL-6,14.027393341064453,1934.2417849909505,CD16+/CD11b+,HLA-DR+/CD7-,La139Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,La139Di,Human,median,99.13717229234051
pDCs,pSTAT3,GM-CSF,14.360767364501953,2233.0594470540896,pDCs,HLA-DR+ CD11c-,La139Di,Human,median,pDCs,HLA-DR+ CD11c-,La139Di,Human,median,90.91796947328504
