population,reagent,Condition,median,variance
CD4+/CD8+,pTBK1,IL-4,8.798904657363892,NaN
pDCs,IkBa,GM-CSF,9.671175003051758,NaN
Neutrophils,Ki67,IL-4,9.940806865692139,57.05049881206689
Neutrophils,pS6,IFNa2,48.297574043273926,598.5749110410605
CD7+/HLA-DR-,pP38,IFNg,11.423065185546875,43.90062088838117
CD16+/CD11b-,pS6,Ebola VLPs,69.30042839050293,1275.0550510425662
CD4+T cells,pSTAT1,TNFa,21.479536533355713,128.69965820208805
CD11b+/CD16-,pCREB,IL-6,53.027183532714844,600.6499155485308
CD4+T cells,pS6,R848,46.701026916503906,446.59141228790463
CD4+/CD8+,pS6,IL-12,84.66906547546387,NaN
CD16+/CD11b-,p4E-BP1,IL-12,19.72572422027588,64.2064717897797
CD4+/CD8+,pS6,Ebola VLPs,74.86953735351562,NaN
Neutrophils,pCREB,IL-6,23.111255645751953,114.32810547251596
CD11b+/CD16-,pErk1/2,Anthrax,106.76011276245117,2592.570539379316
Basophils,p4E-BP1,R848,11.255465507507324,10.345911661157258
CD11b+/CD16-,pSTAT6,IFNg,8.557995319366455,44.43600440804339
CD4+T cells,pP38,R848,13.843006372451782,52.46699892803252
Basophils,pSTAT1,IL-2,23.300780296325684,179.22275797978003
CD4+/CD8+,Ki67,GM-CSF,17.935360431671143,NaN
CD11b+/CD16-,pP38,IFNa2,17.99312114715576,123.9733974663753
pDCs,p4E-BP1,CD40L,40.21017551422119,191.94290853870453
Basophils,pMAPKAPK2,GM-CSF,10.051292419433594,20.410592258679227
CD1c+ B cells,p4E-BP1,IFNa2,35.98651313781738,NaN
CD7+/HLA-DR-,pP38,TNFa,18.79814052581787,82.89685611456277
CD16+/CD11b+,pP38,CD40L,21.198040008544922,188.28644748971485
CD16+/CD11b+,pP38,IFNg,20.869632244110107,176.80427294145343
CD16+/CD11b-,pCREB,CD40L,41.19630241394043,403.66293240242317
CD16+/CD11b-,pP38,Anthrax,24.907166481018066,245.96280002754798
CD7+/HLA-DR-,pP38,R848,11.160398721694946,42.6509456997723
B Cells,pPLCg2,PMAIono,8.008235692977905,16.4369888086241
CD16+/CD11b+,pS6,PMAIono,78.78750991821289,2937.448648675188
CD8+T cells,pTBK1,IL-2,6.317144989967346,25.72709534270537
CD11b-/CD16-,pTBK1,IL-2,12.579349517822266,84.16647573082088
CD16+/CD11b-,pCREB,Basal,40.62115955352783,415.286609688145
CD4+T cells,IkBa,IFNg,6.579003214836121,12.750362329444608
CD4+T cells,pPLCg2,TNFa,5.449445843696594,9.799335715628084
CD1c+ B cells,IkBa,Ebola VLPs,10.462307453155518,NaN
CD16+/CD11b+,IkBa,PMAIono,5.819570899009705,9.471122925355006
B Cells,pCREB,IL-2,19.73970127105713,94.64569822836332
CD11b-/CD16-,pSTAT4,IFNb,13.67775821685791,58.53796082112109
CD1c+ B cells,pZap70/Syk,IFNa2,6.004389107227325,NaN
pDCs,Ki67,TNFa,27.140609741210938,544.1882571116846
CD4+/CD8+,IkBa,IFNb,6.159333109855652,NaN
CD11b+/CD16-,pSTAT5,Ebola VLPs,18.587879180908203,214.2637505485655
pDCs,Ki67,IFNg,27.011815071105957,330.80435290354006
CD4+/CD8+,pZap70/Syk,GM-CSF,5.845229625701904,NaN
CD16+/CD11b-,pTBK1,PMAIono,14.104312181472778,119.0311885227523
CD11b+/CD16-,pCREB,Anthrax,56.43666744232178,760.8721302853554
Basophils,pS6,IL-12,49.78562927246094,881.9773576143689
CD11b-/CD16-,pTBK1,IL-6,12.607807874679565,82.71862474744482
B Cells,pSTAT6,IL-6,7.319742560386658,22.398037642115895
CD8+T cells,Ki67,Anthrax,13.771243572235107,78.1433335933232
CD16+/CD11b+,pSTAT1,IFNa2,90.88528251647949,2451.5096041363377
CD4+/CD8+,pSTAT3,IL-4,86.36568832397461,NaN
CD11b-/CD16-,pSTAT6,IL-2,8.784582138061523,44.7318586760192
CD11b+/CD16-,pMAPKAPK2,IL-12,13.118534803390503,30.89463833537321
CD11b-/CD16-,pErk1/2,CD40L,41.06342315673828,1012.0875631232701
CD8+T cells,pS6,IL-2,47.15940856933594,520.543292905763
CD11b+/CD16-,pSTAT5,TNFa,18.900651931762695,254.71755449708294
CD1c+ B cells,pS6,IL-2,79.00735282897949,NaN
CD11b+/CD16-,pSTAT3,IL-12,86.20733642578125,5641.205604023372
CD16+/CD11b-,p4E-BP1,Anthrax,20.87742280960083,52.03674837503086
B Cells,pErk1/2,IL-2,27.20208501815796,204.5374902470663
CD4+T cells,pMAPKAPK2,IL-6,5.82409405708313,7.750005540217812
CD8+T cells,pErk1/2,CD40L,27.333681106567383,224.9397823030621
CD4+/CD8+,pS6,Anthrax,80.42251586914062,NaN
Neutrophils,pS6,Basal,49.35473155975342,642.149403628442
Basophils,IkBa,TNFa,5.3917118310928345,6.740167251808519
CD16+/CD11b-,IkBa,IL-12,4.873721957206726,4.714950781297202
B Cells,pTBK1,TNFa,10.966319561004639,57.78642752032467
CD4+/CD8+,pSTAT4,Anthrax,8.258894920349121,NaN
CD8+T cells,pCREB,CD40L,21.687148094177246,89.52955641760414
CD16+/CD11b-,pSTAT3,IFNb,72.9557113647461,4573.529363474716
Neutrophils,pSTAT4,PMAIono,7.451638221740723,26.028613476597094
CD7+/HLA-DR-,Ki67,IL-6,11.510936975479126,48.38389529221132
CD4+/CD8+,pSTAT3,IFNg,89.38948822021484,NaN
CD8+T cells,Ki67,IFNg,13.244279384613037,72.44729462323062
CD1c+ B cells,pS6,IL-6,66.48895645141602,NaN
CD1c+ B cells,Ki67,TNFa,20.427781581878662,NaN
CD1c+ B cells,pPLCg2,GM-CSF,9.6298246383667,NaN
pDCs,pSTAT5,IL-12,16.495716094970703,181.59500584423535
Basophils,pS6,IFNa2,46.59133529663086,495.3578001907834
CD8+T cells,pPLCg2,CD40L,5.715675473213196,11.470168183065324
CD8+T cells,Ki67,CD40L,13.498145818710327,75.7245569776711
CD4+T cells,pCREB,Ebola VLPs,18.232577323913574,73.14961816512385
pDCs,pZap70/Syk,IFNg,4.95629608631134,5.663253549609232
Neutrophils,pSTAT1,IL-12,28.71256923675537,339.5346360663871
CD4+/CD8+,Ki67,IL-12,19.913826942443848,NaN
CD7+/HLA-DR-,pZap70/Syk,TNFa,3.97636216878891,4.0060730062737715
CD4+T cells,pCREB,R848,18.7716007232666,74.92199919753809
CD8+T cells,pSTAT3,IL-12,53.36864185333252,2604.602907079222
Basophils,pSTAT5,LPS,25.325180053710938,156.06182935924866
CD16+/CD11b-,pCREB,IL-12,40.82505702972412,420.5833575319861
CD16+/CD11b-,pSTAT6,TNFa,8.144089937210083,45.92803039355551
CD11b+/CD16-,pP38,PMAIono,17.103732585906982,132.34933850287888
CD16+/CD11b-,pP38,IL-4,21.27621030807495,172.81772218078177
CD8+T cells,pSTAT5,IFNg,11.83181619644165,54.359478166988524
CD1c+ B cells,pErk1/2,PMAIono,73.69016456604004,NaN
CD16+/CD11b+,pErk1/2,IL-4,77.05478858947754,2148.0355237439994
CD7+/HLA-DR-,pSTAT3,Basal,57.54605484008789,3540.9505259007947
CD16+/CD11b-,pS6,LPS,67.89089965820312,1275.5181962303416
CD7+/HLA-DR-,pPLCg2,IL-12,6.4012908935546875,18.29118646142754
Neutrophils,pP38,IL-2,12.162960052490234,42.629863709948374
CD11b+/CD16-,pTBK1,IFNa2,12.989549160003662,101.21940327859731
CD16+/CD11b+,Ki67,Anthrax,24.053446769714355,275.234908505712
CD7+/HLA-DR-,pCREB,Basal,22.039868354797363,124.72068726630826
CD7+/HLA-DR-,IkBa,IL-6,4.944381237030029,6.883506973282671
CD11b+/CD16-,pCREB,IL-12,49.5708589553833,596.1239513461895
CD7+/HLA-DR-,pSTAT5,R848,10.043134689331055,49.58648930091428
CD11b+/CD16-,pSTAT4,IL-6,16.409011363983154,96.16960266429807
Neutrophils,pSTAT3,IFNb,65.26214218139648,4056.391796295986
CD7+/HLA-DR-,pSTAT6,IFNb,7.166893005371094,18.225684451285606
pDCs,pSTAT5,Ebola VLPs,16.56445813179016,164.296052066351
B Cells,pSTAT5,PMAIono,13.38270115852356,70.790680034244
pDCs,pP38,GM-CSF,25.429592609405518,NaN
CD4+/CD8+,pSTAT5,TNFa,18.683334827423096,NaN
CD16+/CD11b-,pSTAT6,Ebola VLPs,8.19914436340332,39.546942806203276
CD4+T cells,pSTAT4,IL-6,9.197803258895874,22.31697346381713
CD11b-/CD16-,pP38,R848,39.32980537414551,448.8987820798856
B Cells,pTBK1,IFNg,10.88471508026123,63.66588337396836
pDCs,pMAPKAPK2,LPS,9.64592695236206,20.27195307730274
CD16+/CD11b+,p4E-BP1,IL-6,29.163081169128418,108.0995000518262
CD4+T cells,pSTAT6,IL-2,5.409181475639343,15.21635798608794
CD7+/HLA-DR-,pSTAT3,Ebola VLPs,58.67265605926514,3347.106907350993
CD16+/CD11b-,pErk1/2,IFNb,52.86603832244873,953.0293577076867
CD16+/CD11b+,pP38,TNFa,30.42946767807007,331.7739433098242
CD16+/CD11b-,pSTAT4,IL-6,12.725429058074951,66.71024071192639
CD8+T cells,pSTAT3,GM-CSF,48.67166519165039,2447.841127220071
CD16+/CD11b-,pMAPKAPK2,Anthrax,15.376811265945435,31.35018408698175
Neutrophils,pSTAT6,PMAIono,3.539272904396057,12.340528838828783
CD8+T cells,pTBK1,IFNb,6.376699447631836,23.544501302507143
CD7+/HLA-DR-,pP38,Anthrax,11.122666835784912,44.55129553242493
CD4+T cells,pSTAT1,Basal,21.114188194274902,132.47471712031833
CD16+/CD11b+,pS6,GM-CSF,87.37631607055664,2732.4235670950416
Neutrophils,pMAPKAPK2,Ebola VLPs,7.016183018684387,12.94101264878349
CD8+T cells,pZap70/Syk,IL-4,4.456890106201172,1.5589539662204988
CD4+T cells,pCREB,IL-12,18.707847118377686,83.19433945074954
CD4+T cells,pSTAT1,Ebola VLPs,22.585654258728027,146.9235581887199
CD11b+/CD16-,pErk1/2,R848,92.84705352783203,2031.5584006645183
CD11b-/CD16-,pSTAT6,IL-4,98.10916519165039,1811.2105580360858
Neutrophils,pPLCg2,IFNa2,7.00776207447052,16.458613981985366
Neutrophils,pSTAT3,Basal,57.47561073303223,4058.7275225428248
CD1c+ B cells,pSTAT4,Basal,9.596031069755554,NaN
CD11b+/CD16-,pPLCg2,IFNb,11.907146453857422,64.09861373293002
CD8+T cells,pP38,IFNg,14.492506504058838,50.14141027839073
CD1c+ B cells,pSTAT4,R848,10.70604157447815,NaN
CD7+/HLA-DR-,pPLCg2,LPS,6.101171970367432,16.119100380230044
CD8+T cells,pSTAT1,IFNg,18.712274074554443,90.536020649434
CD4+T cells,pTBK1,PMAIono,7.785292625427246,36.19694225691076
CD7+/HLA-DR-,pSTAT5,Anthrax,10.361775636672974,51.43146868831147
CD8+T cells,pErk1/2,R848,26.61471128463745,218.4712704052133
CD4+/CD8+,pTBK1,TNFa,10.247957706451416,NaN
CD16+/CD11b-,pMAPKAPK2,IL-6,12.766688823699951,20.366199943924872
CD4+/CD8+,pSTAT3,Basal,83.95916557312012,NaN
CD8+T cells,pSTAT5,PMAIono,11.669472455978394,60.32594906988209
CD16+/CD11b+,pErk1/2,TNFa,85.56433486938477,2169.8989295946058
B Cells,pErk1/2,IFNb,26.90794277191162,188.93751980306425
CD11b-/CD16-,pSTAT3,TNFa,66.3501148223877,3455.305850503867
Basophils,Ki67,IL-6,16.78929853439331,75.33609151028398
CD11b+/CD16-,pPLCg2,IL-4,11.945655822753906,61.43112168342038
CD16+/CD11b-,pMAPKAPK2,Basal,12.920155048370361,21.412233925485864
CD11b+/CD16-,pZap70/Syk,Anthrax,5.846498250961304,9.573778840825707
CD11b-/CD16-,pSTAT4,IL-12,13.234480381011963,58.01524901020428
CD4+/CD8+,pSTAT1,IL-2,37.063923835754395,NaN
Basophils,pSTAT4,IL-2,9.706378698348999,28.850662807083566
pDCs,pMAPKAPK2,PMAIono,11.491700410842896,63.65971402011563
CD11b+/CD16-,pSTAT1,IL-12,49.084641456604004,1033.0371276247072
pDCs,pS6,IFNg,66.40478134155273,1269.9399645959552
Neutrophils,pMAPKAPK2,IL-2,7.081951260566711,13.52052859068553
CD1c+ B cells,pSTAT1,IFNg,23.96782636642456,NaN
CD4+/CD8+,pTBK1,Anthrax,9.378844738006592,NaN
CD11b-/CD16-,pSTAT4,IFNg,13.716134786605835,49.98913842650921
pDCs,pTBK1,Anthrax,10.444114685058594,95.14217359373767
CD16+/CD11b+,Ki67,R848,21.99349355697632,220.32621736874063
CD7+/HLA-DR-,IkBa,TNFa,2.191735327243805,2.386910352784543
CD11b-/CD16-,Ki67,IFNg,36.68095016479492,525.3717104393245
pDCs,pSTAT1,PMAIono,20.12724781036377,242.68351630851663
CD16+/CD11b+,Ki67,IFNa2,22.956401824951172,319.71088970455276
CD7+/HLA-DR-,p4E-BP1,IL-6,6.151261925697327,4.49514033441324
pDCs,pCREB,IFNb,25.600217819213867,230.70195081960753
CD7+/HLA-DR-,pCREB,IL-6,21.617570400238037,123.18876120132117
CD16+/CD11b-,pSTAT6,IFNa2,11.459244728088379,50.71256096762965
CD11b+/CD16-,p4E-BP1,CD40L,30.898958206176758,135.99286374772404
CD11b+/CD16-,pSTAT5,IL-2,18.92276382446289,209.4193063198732
CD7+/HLA-DR-,pCREB,CD40L,21.54005527496338,126.52414810786357
Neutrophils,pP38,IFNb,11.76205587387085,39.46333185758174
CD7+/HLA-DR-,p4E-BP1,Basal,6.265650391578674,4.760686774450601
CD4+/CD8+,pTBK1,IL-6,8.542968511581421,NaN
Basophils,pPLCg2,IFNa2,6.843256711959839,11.318402104428946
pDCs,pPLCg2,IL-6,9.479703664779663,28.96715868933517
pDCs,pTBK1,IL-4,10.89323377609253,125.62696012488897
CD4+/CD8+,pSTAT1,IL-6,53.47580528259277,NaN
CD11b-/CD16-,p4E-BP1,CD40L,39.30221748352051,211.53364376165538
CD8+T cells,pSTAT1,IL-12,20.08081817626953,115.16228707178959
CD1c+ B cells,pCREB,IL-6,26.088275909423828,NaN
Basophils,pSTAT4,CD40L,9.806745529174805,29.379662455892984
CD4+T cells,pS6,Basal,45.946434020996094,441.7895258376872
Neutrophils,pPLCg2,PMAIono,7.895002126693726,21.100238126391393
Basophils,pP38,IL-12,11.114380359649658,50.89531780526508
CD7+/HLA-DR-,pSTAT1,IL-6,6.326421022415161,16.66881951574459
CD1c+ B cells,pSTAT5,Basal,18.487502574920654,NaN
CD1c+ B cells,pPLCg2,PMAIono,11.778337240219116,NaN
CD4+T cells,IkBa,CD40L,6.432954788208008,11.643413360149308
CD4+T cells,p4E-BP1,Anthrax,9.120943546295166,6.497743845322059
Basophils,pSTAT5,GM-CSF,107.24974632263184,966.7994483782251
B Cells,pCREB,IFNb,19.517757415771484,88.44980998094185
B Cells,pMAPKAPK2,IL-4,6.49103307723999,8.652649138892594
CD16+/CD11b+,pSTAT5,R848,22.33659029006958,322.33241768223286
CD11b+/CD16-,p4E-BP1,IL-4,32.85260200500488,136.48737910621853
CD1c+ B cells,pSTAT6,Basal,9.02461552619934,NaN
B Cells,pSTAT5,R848,13.219400644302368,68.256660366263
CD11b-/CD16-,pS6,Anthrax,72.9271297454834,1368.7720616688966
CD11b-/CD16-,pMAPKAPK2,IL-12,10.113161325454712,20.2910860165872
CD8+T cells,pCREB,R848,20.707222938537598,91.04642500439289
Basophils,p4E-BP1,PMAIono,10.791103839874268,11.418734107655066
CD16+/CD11b+,pZap70/Syk,IL-12,6.793730616569519,16.865223957376994
CD4+T cells,pZap70/Syk,IL-2,4.667367696762085,1.904301256235455
pDCs,pSTAT1,TNFa,19.453063011169434,218.09579455714047
CD11b+/CD16-,pCREB,TNFa,60.3883113861084,671.0912850566908
CD11b+/CD16-,pZap70/Syk,Ebola VLPs,5.643190860748291,9.203488319638327
CD11b+/CD16-,pSTAT4,LPS,14.923095464706421,78.74675117032719
CD16+/CD11b-,pSTAT6,CD40L,8.125362277030945,42.167543974814215
CD16+/CD11b-,pSTAT6,IL-4,72.63045501708984,1018.5276251692223
CD11b-/CD16-,pSTAT4,CD40L,13.728620767593384,54.46449464366693
CD8+T cells,pCREB,IFNb,20.701759815216064,95.78513429511524
CD4+T cells,IkBa,GM-CSF,6.735401749610901,12.00879190534866
CD8+T cells,pErk1/2,IL-12,27.336149215698242,240.23955694597993
CD16+/CD11b-,p4E-BP1,IFNb,20.174793243408203,67.09966543719993
CD1c+ B cells,pSTAT3,Basal,57.823251724243164,NaN
CD16+/CD11b-,pSTAT6,IL-12,7.914190053939819,50.29475201383014
CD11b+/CD16-,pSTAT1,PMAIono,63.12153625488281,1363.7465267750367
CD4+/CD8+,pSTAT4,IFNg,7.82941997051239,NaN
CD4+T cells,pSTAT4,CD40L,7.223402738571167,17.92191582307955
CD16+/CD11b+,pPLCg2,IL-6,16.071221351623535,158.80486135577988
CD8+T cells,pPLCg2,Basal,5.5303720235824585,10.391442405965723
CD4+T cells,pZap70/Syk,R848,4.673676252365112,1.8927596466514474
CD11b+/CD16-,pSTAT5,IFNg,32.09163999557495,309.6360634271467
CD1c+ B cells,pZap70/Syk,IL-6,6.588878870010376,NaN
CD4+/CD8+,Ki67,Ebola VLPs,17.92800521850586,NaN
CD7+/HLA-DR-,Ki67,IL-12,11.584731817245483,55.48941590529046
Basophils,pPLCg2,Anthrax,7.5505287647247314,17.85634598971638
CD4+/CD8+,pErk1/2,PMAIono,60.70626735687256,NaN
CD16+/CD11b+,pZap70/Syk,IL-4,7.067763447761536,15.443557053931213
CD16+/CD11b-,pMAPKAPK2,IFNb,12.272535562515259,18.90280939691075
CD16+/CD11b+,Ki67,CD40L,24.29722261428833,298.9778499031503
CD16+/CD11b+,pSTAT6,IL-12,7.426827907562256,77.46250131615498
CD1c+ B cells,pSTAT6,IL-2,10.765684604644775,NaN
CD16+/CD11b+,pSTAT6,IL-2,8.055614709854126,68.01224206568844
CD11b+/CD16-,pSTAT4,IL-12,16.427531242370605,102.97831118984145
CD16+/CD11b+,Ki67,LPS,21.16438102722168,273.6389020854076
Basophils,pSTAT3,Basal,48.884488105773926,4203.215071756162
CD1c+ B cells,pCREB,TNFa,23.78653907775879,NaN
CD4+/CD8+,pCREB,LPS,31.470579624176025,NaN
CD4+T cells,pPLCg2,IFNb,5.60298764705658,11.077623765534904
CD16+/CD11b+,pSTAT4,Basal,17.831260681152344,139.75415367605132
CD11b+/CD16-,IkBa,R848,5.446050643920898,6.169397210516102
B Cells,Ki67,Anthrax,17.55995798110962,99.25902434410405
Basophils,pErk1/2,GM-CSF,62.471635818481445,687.1625985184952
CD8+T cells,pSTAT3,IL-4,49.65557098388672,2497.4702864075766
CD11b-/CD16-,pTBK1,IFNb,11.922912120819092,78.07446824699653
CD8+T cells,pS6,IFNg,45.290029525756836,442.91761459948174
B Cells,pSTAT5,Basal,12.759955167770386,70.90204177673311
Basophils,pCREB,PMAIono,39.74489402770996,546.9471864592311
pDCs,pSTAT4,IFNa2,11.445839881896973,52.82309495240952
CD11b+/CD16-,pSTAT5,IL-12,18.680219650268555,250.9158357225902
CD4+/CD8+,pSTAT6,IL-2,6.9158935546875,NaN
CD4+T cells,pMAPKAPK2,IFNb,5.778079032897949,7.806004352076803
CD16+/CD11b+,pS6,CD40L,84.39551734924316,2651.509216154253
CD1c+ B cells,pS6,Ebola VLPs,66.97103118896484,NaN
CD4+/CD8+,pErk1/2,Basal,44.19296169281006,NaN
pDCs,pSTAT4,IFNb,10.515591144561768,57.58739746104618
B Cells,pMAPKAPK2,LPS,6.409886598587036,8.491868657893457
CD16+/CD11b+,pPLCg2,LPS,16.543770790100098,202.6992825709206
Basophils,pZap70/Syk,IL-12,3.182795822620392,3.27863330383328
CD4+/CD8+,Ki67,CD40L,19.464412689208984,223.32252811426358
CD11b-/CD16-,pSTAT4,Basal,13.819440364837646,53.36003193177834
CD16+/CD11b+,p4E-BP1,R848,27.801381587982178,79.73141258963058
CD7+/HLA-DR-,pSTAT6,IL-2,6.745471000671387,19.17487598754671
pDCs,Ki67,Ebola VLPs,25.330060482025146,343.8737082829936
CD16+/CD11b+,pTBK1,PMAIono,15.047232151031494,225.219218811553
Neutrophils,Ki67,Basal,10.354641914367676,61.913105123655164
Basophils,pZap70/Syk,R848,3.0357752442359924,2.6791604006786462
CD16+/CD11b+,pP38,PMAIono,18.6180739402771,204.79299216886506
CD11b-/CD16-,pS6,IFNg,73.18493270874023,1264.6640844424332
CD11b-/CD16-,pErk1/2,R848,56.95153331756592,1285.9194759692214
CD16+/CD11b+,pMAPKAPK2,CD40L,15.779545068740845,43.082345585567914
CD11b+/CD16-,pP38,R848,49.44080352783203,590.3238878818695
Basophils,p4E-BP1,IFNg,11.726409673690796,12.040975302758786
Neutrophils,pMAPKAPK2,PMAIono,8.593060493469238,20.96318336166854
CD4+T cells,IkBa,IL-6,6.406289100646973,11.488943290888734
CD4+/CD8+,pCREB,IL-6,30.7671480178833,NaN
CD16+/CD11b-,pSTAT5,TNFa,19.797982215881348,235.70639586270576
CD16+/CD11b+,pP38,IL-4,21.39590311050415,197.88607952566406
CD11b+/CD16-,pP38,IL-12,18.07895278930664,135.95212209478635
CD11b+/CD16-,pSTAT3,CD40L,84.45929718017578,5408.454280238074
Basophils,pSTAT3,IL-2,55.618651390075684,4285.006682777097
B Cells,pSTAT3,IFNb,46.498680114746094,2294.987768493174
CD7+/HLA-DR-,pSTAT4,IL-2,7.161826252937317,14.186195219240522
CD4+T cells,pZap70/Syk,IFNa2,4.598342657089233,1.7829932459521505
CD16+/CD11b-,pTBK1,IL-12,13.62468147277832,122.0206712102661
B Cells,Ki67,IFNb,16.73310661315918,91.1892987003496
CD4+/CD8+,pSTAT3,IFNb,95.05439949035645,NaN
Basophils,pMAPKAPK2,IL-6,7.64338481426239,13.0947278255779
Neutrophils,pTBK1,R848,7.594459295272827,26.023191361573904
CD16+/CD11b-,pS6,IL-12,71.0029468536377,1395.5267733684555
B Cells,pS6,IFNa2,43.55092430114746,326.60547801486257
CD4+/CD8+,pErk1/2,IFNa2,48.7589750289917,NaN
CD11b-/CD16-,pSTAT3,CD40L,61.952569007873535,3263.0069990929783
CD7+/HLA-DR-,pSTAT1,IL-2,5.843104720115662,10.30522726616741
CD7+/HLA-DR-,pSTAT4,LPS,6.16021728515625,12.772990935193997
CD16+/CD11b-,IkBa,IFNb,4.767951130867004,4.4092754323336845
CD11b-/CD16-,IkBa,R848,5.318334460258484,6.200799478079084
CD11b+/CD16-,pPLCg2,IL-2,11.958167552947998,56.36092213951673
CD11b-/CD16-,pErk1/2,TNFa,55.52279758453369,871.1656398983032
B Cells,pSTAT6,LPS,7.220355749130249,23.138065600114928
B Cells,pSTAT3,LPS,39.040666580200195,2291.2426122180705
CD1c+ B cells,Ki67,IL-6,22.67144775390625,NaN
CD4+/CD8+,pSTAT6,TNFa,5.5328710079193115,NaN
B Cells,pSTAT4,Anthrax,8.975492000579834,21.93024796858275
CD8+T cells,pSTAT5,LPS,11.388772010803223,57.39222761061701
CD11b-/CD16-,pP38,IL-12,18.804749011993408,137.5365362732632
CD4+/CD8+,pP38,IFNg,20.519370555877686,NaN
CD4+/CD8+,pSTAT1,R848,38.124977111816406,NaN
CD7+/HLA-DR-,IkBa,IFNg,5.1139363050460815,7.405230316791466
CD8+T cells,pSTAT4,R848,6.015958786010742,11.445019683139943
CD11b-/CD16-,pMAPKAPK2,Ebola VLPs,10.452831506729126,19.706507326473158
CD16+/CD11b-,p4E-BP1,Basal,22.29854965209961,84.87630764466846
CD16+/CD11b-,pSTAT4,PMAIono,12.485962867736816,54.98593149147706
Neutrophils,pPLCg2,IL-12,7.7195669412612915,18.63748689729818
Basophils,pPLCg2,IL-4,6.858198404312134,11.517986074320065
B Cells,pSTAT1,IL-12,5.872075438499451,10.33694984896991
Neutrophils,pSTAT1,R848,28.508705139160156,314.55618487153555
CD1c+ B cells,pErk1/2,IL-12,39.586466789245605,NaN
CD4+T cells,pSTAT1,GM-CSF,21.71499013900757,155.10992505797208
B Cells,pZap70/Syk,IL-2,4.056122422218323,4.056024214452275
pDCs,pZap70/Syk,Basal,4.779530763626099,5.852790499665764
B Cells,pP38,IL-6,17.886317253112793,85.82423585550403
CD11b-/CD16-,pSTAT4,PMAIono,12.595458984375,50.40146261216172
CD16+/CD11b-,Ki67,IFNa2,19.05232858657837,185.2492430913796
CD4+T cells,pErk1/2,LPS,28.47765016555786,234.7497300078208
B Cells,pP38,PMAIono,19.9875431060791,125.53781325021467
Basophils,pS6,LPS,46.535282135009766,535.3477591438425
CD11b-/CD16-,pSTAT6,IFNb,22.343116283416748,160.6436260484789
CD4+/CD8+,pTBK1,PMAIono,9.28390908241272,NaN
CD16+/CD11b+,pTBK1,IFNg,14.528244018554688,283.40791184541223
CD16+/CD11b+,pZap70/Syk,IFNb,6.642675876617432,14.630853374961186
CD8+T cells,pSTAT1,IFNa2,31.235703945159912,191.88117880026286
Basophils,pSTAT6,Ebola VLPs,6.536657452583313,22.588547901314325
Basophils,pMAPKAPK2,Anthrax,8.668980598449707,15.955147370789302
CD16+/CD11b-,pSTAT5,Anthrax,20.588977813720703,215.86078651056494
CD16+/CD11b-,pSTAT6,IL-2,8.465637922286987,39.77542682183395
CD4+/CD8+,pCREB,GM-CSF,29.212653160095215,NaN
CD1c+ B cells,pSTAT5,LPS,19.144378185272217,NaN
CD1c+ B cells,pSTAT6,IL-6,10.330409288406372,NaN
CD11b+/CD16-,pErk1/2,IL-12,72.64743041992188,1818.885502670897
CD4+T cells,pPLCg2,CD40L,5.472733497619629,10.65315428268854
CD16+/CD11b+,IkBa,Anthrax,5.564178109169006,9.223152703365802
Basophils,pZap70/Syk,TNFa,2.8484497666358948,2.5618495279948723
CD8+T cells,pSTAT3,Ebola VLPs,48.92414093017578,2415.711356249769
B Cells,pSTAT5,IL-6,13.10282278060913,66.23587636185604
pDCs,pSTAT3,IL-4,65.90872955322266,2458.1328664794974
CD4+/CD8+,pErk1/2,LPS,50.30195426940918,NaN
pDCs,Ki67,IL-2,26.246939659118652,343.9806515799664
CD11b+/CD16-,pSTAT5,PMAIono,18.097603797912598,259.1399408441317
Basophils,p4E-BP1,Basal,11.520852088928223,12.277796228732479
CD4+/CD8+,pSTAT5,GM-CSF,18.212992668151855,NaN
CD8+T cells,pZap70/Syk,IFNa2,4.337993383407593,1.5054520780253697
CD7+/HLA-DR-,pSTAT5,IL-4,10.412176609039307,52.23167734531329
CD16+/CD11b-,pMAPKAPK2,PMAIono,15.422557353973389,29.605059591368654
CD4+T cells,pS6,Anthrax,46.984846115112305,474.02323071210037
Basophils,pMAPKAPK2,LPS,7.885956883430481,11.982993482389432
CD16+/CD11b-,pZap70/Syk,PMAIono,6.429394364356995,7.827710019077143
CD11b-/CD16-,pTBK1,TNFa,24.076891899108887,178.9015566610752
CD16+/CD11b+,pSTAT5,Anthrax,22.321760177612305,358.9164747523441
pDCs,pSTAT6,Ebola VLPs,8.167778015136719,42.12583712614939
B Cells,IkBa,PMAIono,4.398360729217529,6.184540139856151
CD7+/HLA-DR-,pS6,R848,40.844533920288086,527.094401257027
Basophils,pS6,PMAIono,51.931159019470215,1271.1359766194428
CD8+T cells,p4E-BP1,Anthrax,7.100553631782532,4.011324153337727
CD8+T cells,pCREB,PMAIono,28.021995544433594,215.4786660557611
CD7+/HLA-DR-,pErk1/2,IFNg,23.16817331314087,227.8068535723325
Neutrophils,pS6,Anthrax,51.562578201293945,701.7596329675533
B Cells,IkBa,LPS,5.16654109954834,9.09919466572196
CD16+/CD11b+,pTBK1,IFNa2,14.562230110168457,201.9026475484819
CD4+T cells,pP38,IL-2,15.195393562316895,56.73042295925635
pDCs,pSTAT4,IL-6,10.1240394115448,46.88451063901274
