population,reagent,Condition,median,variance,uniquePopulationName,parentPopulation,channel,Species,statistic,uniquePopulationName_right,parentPopulation_right,channel_right,Species_right,statistic_right,std,optimization_type
CD11b-/CD16-,pSTAT5,GM-CSF,55.943,289.094,CD11b-/CD16-,HLA-DR+/CD7-,Sm149Di,Human,median,CD11b-/CD16-,HLA-DR+/CD7-,Sm149Di,Human,median,31.195,response
CD11b-/CD16-,pErk1/2,GM-CSF,40.92,409.984,CD11b-/CD16-,HLA-DR+/CD7-,Sm152Di,Human,median,CD11b-/CD16-,HLA-DR+/CD7-,Sm152Di,Human,median,44.901,response
CD11b-/CD16-,pSTAT5,IFNb,27.736,128.883,CD11b-/CD16-,HLA-DR+/CD7-,Sm149Di,Human,median,CD11b-/CD16-,HLA-DR+/CD7-,Sm149Di,Human,median,22.986,response
CD11b-/CD16-,pSTAT1,IFNb,26.944,171.488,CD11b-/CD16-,HLA-DR+/CD7-,Sm147Di,Human,median,CD11b-/CD16-,HLA-DR+/CD7-,Sm147Di,Human,median,28.501,response
CD11b-/CD16-,pSTAT1,IFNa2,22.224,163.025,CD11b-/CD16-,HLA-DR+/CD7-,Sm147Di,Human,median,CD11b-/CD16-,HLA-DR+/CD7-,Sm147Di,Human,median,26.596,response
CD11b-/CD16-,pErk1/2,PMAIono,20.15,291.989,CD11b-/CD16-,HLA-DR+/CD7-,Sm152Di,Human,median,CD11b-/CD16-,HLA-DR+/CD7-,Sm152Di,Human,median,49.129,response
CD16+/CD11b+,pTBK1,R848,304.695,23469.438,CD16+/CD11b+,HLA-DR+/CD7-,Dy161Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Dy161Di,Human,median,208.756,response
CD16+/CD11b+,pTBK1,LPS,212.885,30637.762,CD16+/CD11b+,HLA-DR+/CD7-,Dy161Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Dy161Di,Human,median,211.391,response
CD16+/CD11b+,pSTAT6,IL-4,75.754,485.936,CD16+/CD11b+,HLA-DR+/CD7-,Ho165Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Ho165Di,Human,median,40.492,response
CD16+/CD11b+,pSTAT5,GM-CSF,75.643,245.445,CD16+/CD11b+,HLA-DR+/CD7-,Sm149Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Sm149Di,Human,median,38.914,response
CD16+/CD11b+,pErk1/2,GM-CSF,52.006,364.297,CD16+/CD11b+,HLA-DR+/CD7-,Sm152Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Sm152Di,Human,median,56.219,response
CD16+/CD11b+,pSTAT1,IFNb,41.463,308.961,CD16+/CD11b+,HLA-DR+/CD7-,Sm147Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Sm147Di,Human,median,51.451,response
CD16+/CD11b+,pSTAT1,IFNg,35.158,369.351,CD16+/CD11b+,HLA-DR+/CD7-,Sm147Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Sm147Di,Human,median,50.636,response
CD16+/CD11b+,pSTAT1,IFNa2,33.399,237.225,CD16+/CD11b+,HLA-DR+/CD7-,Sm147Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Sm147Di,Human,median,48.551,response
CD16+/CD11b+,pErk1/2,R848,31.54,230.834,CD16+/CD11b+,HLA-DR+/CD7-,Sm152Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Sm152Di,Human,median,53.766,response
CD16+/CD11b+,pErk1/2,Anthrax,30.221,514.138,CD16+/CD11b+,HLA-DR+/CD7-,Sm152Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Sm152Di,Human,median,56.139,response
