population,reagent,Condition,median,variance,uniquePopulationName,parentPopulation,channel,Species,statistic,uniquePopulationName_right,parentPopulation_right,channel_right,Species_right,statistic_right,std,optimization_type,population_var,reagent_var,Condition_var,median_var,variance_var,uniquePopulationName_var,parentPopulation_var,channel_var,Species_var,statistic_var,uniquePopulationName_right_var,parentPopulation_right_var,channel_right_var,Species_right_var,statistic_right_var,std_var,optimization_type_var,population_corr,reagent_corr,Condition_corr,median_corr,variance_corr,uniquePopulationName_corr,parentPopulation_corr,channel_corr,Species_corr,statistic_corr,uniquePopulationName_right_corr,parentPopulation_right_corr,channel_right_corr,Species_right_corr,statistic_right_corr,std_corr,optimization_type_corr,combined_score
pDCs,pSTAT6,IL-4,60.572,319.669,pDCs,HLA-DR+ CD11c-,Ho165Di,Human,median,pDCs,HLA-DR+ CD11c-,Ho165Di,Human,median,31.188,combined,pDCs,pSTAT6,IL-4,60.572,319.669,pDCs,HLA-DR+ CD11c-,Ho165Di,Human,median,pDCs,HLA-DR+ CD11c-,Ho165Di,Human,median,31.188,variance,pDCs,pSTAT6,IL-4,60.572,319.669,pDCs,HLA-DR+ CD11c-,Ho165Di,Human,median,pDCs,HLA-DR+ CD11c-,Ho165Di,Human,median,31.188,correlation,220.406
pDCs,pCREB,PMAIono,20.794,352.759,pDCs,HLA-DR+ CD11c-,Nd145Di,Human,median,pDCs,HLA-DR+ CD11c-,Nd145Di,Human,median,36.605,combined,pDCs,pCREB,PMAIono,20.794,352.759,pDCs,HLA-DR+ CD11c-,Nd145Di,Human,median,pDCs,HLA-DR+ CD11c-,Nd145Di,Human,median,36.605,variance,pDCs,pCREB,PMAIono,20.794,352.759,pDCs,HLA-DR+ CD11c-,Nd145Di,Human,median,pDCs,HLA-DR+ CD11c-,Nd145Di,Human,median,36.605,correlation,197.173
pDCs,pSTAT5,GM-CSF,49.063,221.368,pDCs,HLA-DR+ CD11c-,Sm149Di,Human,median,pDCs,HLA-DR+ CD11c-,Sm149Di,Human,median,30.469,combined,pDCs,pSTAT5,GM-CSF,49.063,221.368,pDCs,HLA-DR+ CD11c-,Sm149Di,Human,median,pDCs,HLA-DR+ CD11c-,Sm149Di,Human,median,30.469,variance,pDCs,pSTAT5,GM-CSF,49.063,221.368,pDCs,HLA-DR+ CD11c-,Sm149Di,Human,median,pDCs,HLA-DR+ CD11c-,Sm149Di,Human,median,30.469,correlation,159.747
pDCs,pErk1/2,GM-CSF,24.015,227.375,pDCs,HLA-DR+ CD11c-,Sm152Di,Human,median,pDCs,HLA-DR+ CD11c-,Sm152Di,Human,median,37.366,combined,pDCs,pErk1/2,GM-CSF,24.015,227.375,pDCs,HLA-DR+ CD11c-,Sm152Di,Human,median,pDCs,HLA-DR+ CD11c-,Sm152Di,Human,median,37.366,variance,pDCs,pErk1/2,GM-CSF,24.015,227.375,pDCs,HLA-DR+ CD11c-,Sm152Di,Human,median,pDCs,HLA-DR+ CD11c-,Sm152Di,Human,median,37.366,correlation,137.702
pDCs,pP38,R848,20.31,220.75,pDCs,HLA-DR+ CD11c-,Sm154Di,Human,median,pDCs,HLA-DR+ CD11c-,Sm154Di,Human,median,30.969,combined,pDCs,pP38,R848,20.31,220.75,pDCs,HLA-DR+ CD11c-,Sm154Di,Human,median,pDCs,HLA-DR+ CD11c-,Sm154Di,Human,median,30.969,variance,pDCs,pP38,R848,20.31,220.75,pDCs,HLA-DR+ CD11c-,Sm154Di,Human,median,pDCs,HLA-DR+ CD11c-,Sm154Di,Human,median,30.969,correlation,130.685
pDCs,pSTAT1,IFNb,21.549,160.706,pDCs,HLA-DR+ CD11c-,Sm147Di,Human,median,pDCs,HLA-DR+ CD11c-,Sm147Di,Human,median,26.207,combined,pDCs,pSTAT1,IFNb,21.549,160.706,pDCs,HLA-DR+ CD11c-,Sm147Di,Human,median,pDCs,HLA-DR+ CD11c-,Sm147Di,Human,median,26.207,variance,pDCs,pSTAT1,IFNb,21.549,160.706,pDCs,HLA-DR+ CD11c-,Sm147Di,Human,median,pDCs,HLA-DR+ CD11c-,Sm147Di,Human,median,26.207,correlation,101.902
pDCs,pSTAT1,IFNa2,20.377,133.642,pDCs,HLA-DR+ CD11c-,Sm147Di,Human,median,pDCs,HLA-DR+ CD11c-,Sm147Di,Human,median,24.533,combined,pDCs,pSTAT1,IFNa2,20.377,133.642,pDCs,HLA-DR+ CD11c-,Sm147Di,Human,median,pDCs,HLA-DR+ CD11c-,Sm147Di,Human,median,24.533,variance,pDCs,pSTAT1,IFNa2,20.377,133.642,pDCs,HLA-DR+ CD11c-,Sm147Di,Human,median,pDCs,HLA-DR+ CD11c-,Sm147Di,Human,median,24.533,correlation,87.198
pDCs,pSTAT5,IFNb,20.671,75.208,pDCs,HLA-DR+ CD11c-,Sm149Di,Human,median,pDCs,HLA-DR+ CD11c-,Sm149Di,Human,median,20.07,combined,pDCs,pSTAT5,IFNb,20.671,75.208,pDCs,HLA-DR+ CD11c-,Sm149Di,Human,median,pDCs,HLA-DR+ CD11c-,Sm149Di,Human,median,20.07,variance,pDCs,pSTAT5,IFNb,20.671,75.208,pDCs,HLA-DR+ CD11c-,Sm149Di,Human,median,pDCs,HLA-DR+ CD11c-,Sm149Di,Human,median,20.07,correlation,58.275
CD1c+ B cells,pSTAT6,IL-4,56.024,746.482,CD1c+ B cells,B Cells,Ho165Di,Human,median,CD1c+ B cells,B Cells,Ho165Di,Human,median,40.849,combined,CD1c+ B cells,pSTAT6,IL-4,56.024,746.482,CD1c+ B cells,B Cells,Ho165Di,Human,median,CD1c+ B cells,B Cells,Ho165Di,Human,median,40.849,variance,CD1c+ B cells,pSTAT6,IL-4,56.024,746.482,CD1c+ B cells,B Cells,Ho165Di,Human,median,CD1c+ B cells,B Cells,Ho165Di,Human,median,40.849,correlation,429.265
CD11b-/CD16-,pSTAT6,IL-4,73.276,735.754,CD11b-/CD16-,HLA-DR+/CD7-,Ho165Di,Human,median,CD11b-/CD16-,HLA-DR+/CD7-,Ho165Di,Human,median,42.265,combined,CD11b-/CD16-,pSTAT6,IL-4,73.276,735.754,CD11b-/CD16-,HLA-DR+/CD7-,Ho165Di,Human,median,CD11b-/CD16-,HLA-DR+/CD7-,Ho165Di,Human,median,42.265,variance,CD11b-/CD16-,pSTAT6,IL-4,73.276,735.754,CD11b-/CD16-,HLA-DR+/CD7-,Ho165Di,Human,median,CD11b-/CD16-,HLA-DR+/CD7-,Ho165Di,Human,median,42.265,correlation,441.153
CD11b-/CD16-,pErk1/2,GM-CSF,40.92,409.984,CD11b-/CD16-,HLA-DR+/CD7-,Sm152Di,Human,median,CD11b-/CD16-,HLA-DR+/CD7-,Sm152Di,Human,median,44.901,combined,CD11b-/CD16-,pErk1/2,GM-CSF,40.92,409.984,CD11b-/CD16-,HLA-DR+/CD7-,Sm152Di,Human,median,CD11b-/CD16-,HLA-DR+/CD7-,Sm152Di,Human,median,44.901,variance,CD11b-/CD16-,pErk1/2,GM-CSF,40.92,409.984,CD11b-/CD16-,HLA-DR+/CD7-,Sm152Di,Human,median,CD11b-/CD16-,HLA-DR+/CD7-,Sm152Di,Human,median,44.901,correlation,245.912
CD11b-/CD16-,pSTAT5,GM-CSF,55.943,289.094,CD11b-/CD16-,HLA-DR+/CD7-,Sm149Di,Human,median,CD11b-/CD16-,HLA-DR+/CD7-,Sm149Di,Human,median,31.195,combined,CD11b-/CD16-,pSTAT5,GM-CSF,55.943,289.094,CD11b-/CD16-,HLA-DR+/CD7-,Sm149Di,Human,median,CD11b-/CD16-,HLA-DR+/CD7-,Sm149Di,Human,median,31.195,variance,CD11b-/CD16-,pSTAT5,GM-CSF,55.943,289.094,CD11b-/CD16-,HLA-DR+/CD7-,Sm149Di,Human,median,CD11b-/CD16-,HLA-DR+/CD7-,Sm149Di,Human,median,31.195,correlation,200.49
CD11b-/CD16-,pErk1/2,PMAIono,20.15,291.989,CD11b-/CD16-,HLA-DR+/CD7-,Sm152Di,Human,median,CD11b-/CD16-,HLA-DR+/CD7-,Sm152Di,Human,median,49.129,combined,CD11b-/CD16-,pErk1/2,PMAIono,20.15,291.989,CD11b-/CD16-,HLA-DR+/CD7-,Sm152Di,Human,median,CD11b-/CD16-,HLA-DR+/CD7-,Sm152Di,Human,median,49.129,variance,CD11b-/CD16-,pErk1/2,PMAIono,20.15,291.989,CD11b-/CD16-,HLA-DR+/CD7-,Sm152Di,Human,median,CD11b-/CD16-,HLA-DR+/CD7-,Sm152Di,Human,median,49.129,correlation,166.145
CD11b-/CD16-,pSTAT1,IFNb,26.944,171.488,CD11b-/CD16-,HLA-DR+/CD7-,Sm147Di,Human,median,CD11b-/CD16-,HLA-DR+/CD7-,Sm147Di,Human,median,28.501,combined,CD11b-/CD16-,pSTAT1,IFNb,26.944,171.488,CD11b-/CD16-,HLA-DR+/CD7-,Sm147Di,Human,median,CD11b-/CD16-,HLA-DR+/CD7-,Sm147Di,Human,median,28.501,variance,CD11b-/CD16-,pSTAT1,IFNb,26.944,171.488,CD11b-/CD16-,HLA-DR+/CD7-,Sm147Di,Human,median,CD11b-/CD16-,HLA-DR+/CD7-,Sm147Di,Human,median,28.501,correlation,112.688
CD11b-/CD16-,pSTAT1,IFNa2,22.224,163.025,CD11b-/CD16-,HLA-DR+/CD7-,Sm147Di,Human,median,CD11b-/CD16-,HLA-DR+/CD7-,Sm147Di,Human,median,26.596,combined,CD11b-/CD16-,pSTAT1,IFNa2,22.224,163.025,CD11b-/CD16-,HLA-DR+/CD7-,Sm147Di,Human,median,CD11b-/CD16-,HLA-DR+/CD7-,Sm147Di,Human,median,26.596,variance,CD11b-/CD16-,pSTAT1,IFNa2,22.224,163.025,CD11b-/CD16-,HLA-DR+/CD7-,Sm147Di,Human,median,CD11b-/CD16-,HLA-DR+/CD7-,Sm147Di,Human,median,26.596,correlation,103.736
CD11b-/CD16-,pSTAT5,IFNb,27.736,128.883,CD11b-/CD16-,HLA-DR+/CD7-,Sm149Di,Human,median,CD11b-/CD16-,HLA-DR+/CD7-,Sm149Di,Human,median,22.986,combined,CD11b-/CD16-,pSTAT5,IFNb,27.736,128.883,CD11b-/CD16-,HLA-DR+/CD7-,Sm149Di,Human,median,CD11b-/CD16-,HLA-DR+/CD7-,Sm149Di,Human,median,22.986,variance,CD11b-/CD16-,pSTAT5,IFNb,27.736,128.883,CD11b-/CD16-,HLA-DR+/CD7-,Sm149Di,Human,median,CD11b-/CD16-,HLA-DR+/CD7-,Sm149Di,Human,median,22.986,correlation,92.177
CD4+T cells,pSTAT5,IL-2,35.83,107.247,CD4+T cells,T Cells,Sm149Di,Human,median,CD4+T cells,T Cells,Sm149Di,Human,median,22.641,combined,CD4+T cells,pSTAT5,IL-2,35.83,107.247,CD4+T cells,T Cells,Sm149Di,Human,median,CD4+T cells,T Cells,Sm149Di,Human,median,22.641,variance,CD4+T cells,pSTAT5,IL-2,35.83,107.247,CD4+T cells,T Cells,Sm149Di,Human,median,CD4+T cells,T Cells,Sm149Di,Human,median,22.641,correlation,89.454
CD4+T cells,pSTAT6,IL-4,36.424,82.647,CD4+T cells,T Cells,Ho165Di,Human,median,CD4+T cells,T Cells,Ho165Di,Human,median,16.678,combined,CD4+T cells,pSTAT6,IL-4,36.424,82.647,CD4+T cells,T Cells,Ho165Di,Human,median,CD4+T cells,T Cells,Ho165Di,Human,median,16.678,variance,CD4+T cells,pSTAT6,IL-4,36.424,82.647,CD4+T cells,T Cells,Ho165Di,Human,median,CD4+T cells,T Cells,Ho165Di,Human,median,16.678,correlation,77.747
CD4+T cells,pSTAT1,IFNb,22.544,106.904,CD4+T cells,T Cells,Sm147Di,Human,median,CD4+T cells,T Cells,Sm147Di,Human,median,22.131,combined,CD4+T cells,pSTAT1,IFNb,22.544,106.904,CD4+T cells,T Cells,Sm147Di,Human,median,CD4+T cells,T Cells,Sm147Di,Human,median,22.131,variance,CD4+T cells,pSTAT1,IFNb,22.544,106.904,CD4+T cells,T Cells,Sm147Di,Human,median,CD4+T cells,T Cells,Sm147Di,Human,median,22.131,correlation,75.996
CD4+T cells,pSTAT5,IFNb,26.572,51.488,CD4+T cells,T Cells,Sm149Di,Human,median,CD4+T cells,T Cells,Sm149Di,Human,median,16.397,combined,CD4+T cells,pSTAT5,IFNb,26.572,51.488,CD4+T cells,T Cells,Sm149Di,Human,median,CD4+T cells,T Cells,Sm149Di,Human,median,16.397,variance,CD4+T cells,pSTAT5,IFNb,26.572,51.488,CD4+T cells,T Cells,Sm149Di,Human,median,CD4+T cells,T Cells,Sm149Di,Human,median,16.397,correlation,52.315
B Cells,pErk1/2,PMAIono,20.897,196.913,B Cells,CD45+ CD66-,Sm152Di,Human,median,B Cells,CD45+ CD66-,Sm152Di,Human,median,28.733,combined,B Cells,pErk1/2,PMAIono,20.897,196.913,B Cells,CD45+ CD66-,Sm152Di,Human,median,B Cells,CD45+ CD66-,Sm152Di,Human,median,28.733,variance,B Cells,pErk1/2,PMAIono,20.897,196.913,B Cells,CD45+ CD66-,Sm152Di,Human,median,B Cells,CD45+ CD66-,Sm152Di,Human,median,28.733,correlation,119.353
B Cells,pSTAT6,IL-4,46.761,124.819,B Cells,CD45+ CD66-,Ho165Di,Human,median,B Cells,CD45+ CD66-,Ho165Di,Human,median,22.096,combined,B Cells,pSTAT6,IL-4,46.761,124.819,B Cells,CD45+ CD66-,Ho165Di,Human,median,B Cells,CD45+ CD66-,Ho165Di,Human,median,22.096,variance,B Cells,pSTAT6,IL-4,46.761,124.819,B Cells,CD45+ CD66-,Ho165Di,Human,median,B Cells,CD45+ CD66-,Ho165Di,Human,median,22.096,correlation,109.17
,,,23.417,352.352,,,,,,,,,,,,combined,CD16+/CD11b-,pErk1/2,Anthrax,23.417,352.352,CD16+/CD11b-,HLA-DR+/CD7-,Sm152Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Sm152Di,Human,median,43.45,variance,,,,,,,,,,,,,,,,,,199.593
,,,27.609,276.151,,,,,,,,,,,,combined,CD16+/CD11b+,pErk1/2,LPS,27.609,276.151,CD16+/CD11b+,HLA-DR+/CD7-,Sm152Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Sm152Di,Human,median,55.944,variance,,,,,,,,,,,,,,,,,,165.685
,,,27.609,276.151,,,,,,,,,,,,combined,,,,,,,,,,,,,,,,,,CD16+/CD11b+,pErk1/2,LPS,27.609,276.151,CD16+/CD11b+,HLA-DR+/CD7-,Sm152Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Sm152Di,Human,median,55.944,correlation,165.685
,,,22.999,264.591,,,,,,,,,,,,combined,,,,,,,,,,,,,,,,,,CD16+/CD11b+,pErk1/2,PMAIono,22.999,264.591,CD16+/CD11b+,HLA-DR+/CD7-,Sm152Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Sm152Di,Human,median,55.988,correlation,155.294
,,,22.999,264.591,,,,,,,,,,,,combined,CD16+/CD11b+,pErk1/2,PMAIono,22.999,264.591,CD16+/CD11b+,HLA-DR+/CD7-,Sm152Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Sm152Di,Human,median,55.988,variance,,,,,,,,,,,,,,,,,,155.294
,,,23.154,247.656,,,,,,,,,,,,combined,CD16+/CD11b-,pTBK1,TNFa,23.154,247.656,CD16+/CD11b-,HLA-DR+/CD7-,Dy161Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Dy161Di,Human,median,23.096,variance,,,,,,,,,,,,,,,,,,146.981
,,,23.154,247.656,,,,,,,,,,,,combined,,,,,,,,,,,,,,,,,,CD16+/CD11b-,pTBK1,TNFa,23.154,247.656,CD16+/CD11b-,HLA-DR+/CD7-,Dy161Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Dy161Di,Human,median,23.096,correlation,146.981
,,,24.027,174.552,,,,,,,,,,,,combined,,,,,,,,,,,,,,,,,,CD11b+/CD16-,pSTAT1,IFNg,24.027,174.552,CD11b+/CD16-,HLA-DR+/CD7-,Sm147Di,Human,median,CD11b+/CD16-,HLA-DR+/CD7-,Sm147Di,Human,median,38.876,correlation,111.304
,,,24.027,174.552,,,,,,,,,,,,combined,CD11b+/CD16-,pSTAT1,IFNg,24.027,174.552,CD11b+/CD16-,HLA-DR+/CD7-,Sm147Di,Human,median,CD11b+/CD16-,HLA-DR+/CD7-,Sm147Di,Human,median,38.876,variance,,,,,,,,,,,,,,,,,,111.304
,,,25.044,142.97,,,,,,,,,,,,combined,CD11b+/CD16-,pSTAT1,IFNa2,25.044,142.97,CD11b+/CD16-,HLA-DR+/CD7-,Sm147Di,Human,median,CD11b+/CD16-,HLA-DR+/CD7-,Sm147Di,Human,median,38.776,variance,,,,,,,,,,,,,,,,,,96.529
CD8+T cells,pSTAT5,IL-2,44.857,76.0,CD8+T cells,T Cells,Sm149Di,Human,median,CD8+T cells,T Cells,Sm149Di,Human,median,20.982,combined,CD8+T cells,pSTAT5,IL-2,44.857,76.0,CD8+T cells,T Cells,Sm149Di,Human,median,CD8+T cells,T Cells,Sm149Di,Human,median,20.982,variance,CD8+T cells,pSTAT5,IL-2,44.857,76.0,CD8+T cells,T Cells,Sm149Di,Human,median,CD8+T cells,T Cells,Sm149Di,Human,median,20.982,correlation,82.857
CD8+T cells,pSTAT6,IL-4,25.686,61.079,CD8+T cells,T Cells,Ho165Di,Human,median,CD8+T cells,T Cells,Ho165Di,Human,median,13.772,combined,CD8+T cells,pSTAT6,IL-4,25.686,61.079,CD8+T cells,T Cells,Ho165Di,Human,median,CD8+T cells,T Cells,Ho165Di,Human,median,13.772,variance,CD8+T cells,pSTAT6,IL-4,25.686,61.079,CD8+T cells,T Cells,Ho165Di,Human,median,CD8+T cells,T Cells,Ho165Di,Human,median,13.772,correlation,56.225
CD7+/HLA-DR-,pSTAT5,IL-2,30.304,53.107,CD7+/HLA-DR-,CD19- CD3-,Sm149Di,Human,median,CD7+/HLA-DR-,CD19- CD3-,Sm149Di,Human,median,15.851,combined,CD7+/HLA-DR-,pSTAT5,IL-2,30.304,53.107,CD7+/HLA-DR-,CD19- CD3-,Sm149Di,Human,median,CD7+/HLA-DR-,CD19- CD3-,Sm149Di,Human,median,15.851,variance,CD7+/HLA-DR-,pSTAT5,IL-2,30.304,53.107,CD7+/HLA-DR-,CD19- CD3-,Sm149Di,Human,median,CD7+/HLA-DR-,CD19- CD3-,Sm149Di,Human,median,15.851,correlation,56.857
CD7+/HLA-DR-,pSTAT6,IL-4,22.136,42.445,CD7+/HLA-DR-,CD19- CD3-,Ho165Di,Human,median,CD7+/HLA-DR-,CD19- CD3-,Ho165Di,Human,median,12.141,combined,CD7+/HLA-DR-,pSTAT6,IL-4,22.136,42.445,CD7+/HLA-DR-,CD19- CD3-,Ho165Di,Human,median,CD7+/HLA-DR-,CD19- CD3-,Ho165Di,Human,median,12.141,variance,CD7+/HLA-DR-,pSTAT6,IL-4,22.136,42.445,CD7+/HLA-DR-,CD19- CD3-,Ho165Di,Human,median,CD7+/HLA-DR-,CD19- CD3-,Ho165Di,Human,median,12.141,correlation,43.359
